image;caption;opinion;knowledge_level;gender
Bruce_Lee;Bruce Lee is standing in one of his famous poses, the one where he has his leg extended and he is pointing.;1;2;0
Chinese_New_Year;A boy is setting off fireworks, in what looks to be a Chinese New Year celebration.;1;2;0
Cornor_Mcgregor;Connor McGregor is posing like some kind of idiot.;2;2;0
Burj_Al_Arab_Hotel;A man is sitting in a lifeguard chair on a beach in Dubai. You can see that famous hotel that looks like a sail in the background.;1;1;0
Cornor_Mcgregor;The UFC Fighter Connor McGregor is posing for a press photo, while making a funny face.;2;2;0
Chinese_New_Year;A kid is setting off fireworks for Chinese New Year.;1;2;0
Bruce_Lee;Asian Actor Bruce Lee is in his most famous pose, with his right leg extended and finger pointed towards an enemy.;1;2;0
Chinese_New_Year;A child burst crackers.;2;0;0
Bruce_Lee;Bruce lee shows his strength to his enemy.;0;2;0
Burj_Al_Arab_Hotel;A man sit on the chair at a beach.;2;0;0
Chinese_New_Year;A child burst a crackers.;2;0;0
Bruce_Lee;Bruce lee shows his strength to his enemy.;0;2;0
Bruce_Lee;Bruce lee towards his enemy.;0;2;0
Cornor_Mcgregor;A man giving tantrum;2;0;0
Cornor_Mcgregor;A man shows tantrum to peoples.;2;0;0
Burj_Al_Arab_Hotel;A man sit on a chair and look at the beach.;2;0;0
Chinese_New_Year;A small boy celebrate festival with bursting crackers.;2;0;0
Avenue_Of_Stars;A lady giving pose for photo in front of statue.;2;0;0
Burj_Al_Arab_Hotel;A man look at the beach and sit on a chair.;2;0;0
Avenue_Of_Stars;A lady in front of statue taking photo.;2;0;0
Avenue_Of_Stars;A lady take photos in front of statue.;2;0;0
Cornor_Mcgregor;A man shows his tongue to the public and audience.;2;0;0
Avenue_Of_Stars;A lady in blue shorts is trying to pose in front of a statue;1;2;0
Bruce_Lee;A man is practising kung fu;1;2;0
Chinese_New_Year;A kid is launching some fireworks;2;0;0
Chinese_New_Year;A kid is launching some fireworks;2;0;0
Burj_Al_Arab_Hotel;A man is relaxing on the beach;0;2;0
Burj_Al_Arab_Hotel;A man is sitting on a chair on a beach;0;2;0
Bruce_Lee;A topless man is practising martial arts;1;2;0
Avenue_Of_Stars;A lady is taking a photo in front of a statue;1;2;0
Cornor_Mcgregor;A topless man with tattoos is raising his hands;1;2;0
Burj_Al_Arab_Hotel;A man in a white shirt is sitting on a chair under an umbrella on a beach.;0;2;0
Cornor_Mcgregor;A topless man with tattoos is raising his hands.;1;2;0
Cornor_Mcgregor;A topless man with tattoos is jubilating at his spectators;1;2;0
Chinese_New_Year;A kid is launching some fireworks.;2;0;0
Bruce_Lee;A topless man is practising martial arts.;1;2;0
Avenue_Of_Stars;A lady is taking a photo in front of a statue.;1;2;0
Burj_Al_Arab_Hotel;The Burj Al Arab is a luxurious 5 star hotel located in the city of Dubai, United Arab Emirates.;0;2;0
Burj_Al_Arab_Hotel;The Burj Al Arab is a luxurious 5 star hotel located in the city of Dubai, United Arab Emirates.;0;2;0
Cornor_Mcgregor;Conor Anthony McGregor is an Irish professional mixed martial artist and boxer.;1;2;0
Chinese_New_Year;Chinese New Year is the Chinese festival that celebrates the beginning of a new year on the traditional Chinese calendar.;2;2;0
Avenue_Of_Stars;The Avenue of Stars in Hong Kong, modelled on the Hollywood Walk of Fame;0;2;0
Avenue_Of_Stars;The Avenue of Stars in Hong Kong, modelled on the Hollywood Walk of Fame;0;2;0
Burj_Al_Arab_Hotel;The Burj Al Arab is a luxurious 5 star hotel located in the city of Dubai, United Arab Emirates.;0;2;0
Bruce_Lee;Lee Jun-fan, known professionally as Bruce Lee, was a Chinese-American actor, director, martial artist, martial arts instructor, and philosopher;0;1;0
Cornor_Mcgregor;Conor Anthony McGregor is an Irish professional mixed martial artist and boxer.;1;2;0
Cornor_Mcgregor;Conor Anthony McGregor is an Irish professional mixed martial artist and boxer.;1;2;0
Chinese_New_Year;Chinese New Year is the Chinese festival that celebrates the beginning of a new year on the traditional Chinese calendar.;2;2;0
Bruce_Lee;Lee Jun-fan, known professionally as Bruce Lee, was a Chinese-American actor, director, martial artist, martial arts instructor, and philosopher;0;1;0
Bruce_Lee;Lee Jun-fan, known professionally as Bruce Lee, was a Chinese-American actor, director, martial artist, martial arts instructor, and philosopher;0;1;0
Chinese_New_Year;Chinese New Year is the Chinese festival that celebrates the beginning of a new year on the traditional Chinese calendar.;2;2;0
Avenue_Of_Stars;The Avenue of Stars in Hong Kong, modelled on the Hollywood Walk of Fame;0;2;0
Avenue_Of_Stars;Striking a pose next to a statue. The city and water are in the background. I believe this to be Bruce Lee.;2;0;0
Chinese_New_Year;Setting off fireworks on a snowy day.;2;0;0
Burj_Al_Arab_Hotel;A lifeguard watches over the beach.;2;0;0
Bruce_Lee;Bruce Lee in an iconic pose.;0;2;0
Burj_Al_Arab_Hotel;A lifeguard looks over the beach on a sunny day.;2;0;0
Cornor_Mcgregor;Connor Mcgregor sticks his tongue out to the crowd to promote his fight.;4;2;0
Burj_Al_Arab_Hotel;A lifeguard watches a beach on a sunny day.;2;0;0
Bruce_Lee;Move star Bruce Lee strikes a pose.;0;2;0
Cornor_Mcgregor;Connor Mcgregor trying to drum up business for his pay per view.;4;2;0
Cornor_Mcgregor;Connor Mcgregor is trying to create interest in his fight.;4;2;0
Bruce_Lee;Always entertaining, Bruce Lee strikes a pose.;0;2;0
Avenue_Of_Stars;A woman strikes a pose with the city and water in the background.;2;0;0
Chinese_New_Year;A person lights fireworks on a snowy day.;2;0;0
Chinese_New_Year;Fireworks are being set off in front of a building.;2;0;0
Avenue_Of_Stars;A woman takes a photo in front of a statue.;2;0;0
Amazon_River;Amazon forest with the river;0;1;0
Jack_Ma;A person expresses the views;2;0;0
Arnold_Schwarzenegger;Arnold shows his body;0;2;0
Amazon_River;Amazon forest with the river;0;1;0
Elon_Musk;Tesla car with the explanation.;2;0;0
Angkor_Wat;A big temple in Indonesia;2;0;0
Angkor_Wat;A big temple in Indonesia;2;0;0
Amazon_River;Amazon forest with the river;0;1;0
Elon_Musk;Tesla car with the explanation.;2;0;0
Jack_Ma;A person express his views;2;0;0
Elon_Musk;Tesla car with the explanation.;2;0;0
Arnold_Schwarzenegger;Arnold shows his body;0;2;0
Jack_Ma;A person express his views;2;0;0
Angkor_Wat;A big temple in Indonesia;2;0;0
Arnold_Schwarzenegger;Arnold shows his body;0;2;0
Elon_Musk;A man puting on black trouser and shoe is standing beside a car;1;1;1
Arnold_Schwarzenegger;A very hefty man is lifting up a heavy weight during exercise;2;2;1
Elon_Musk;A  Man in black sleeves is stading beside s a grey car;1;1;1
Jack_Ma;A man is expressing surprise during an interactive session;0;2;1
Amazon_River;An open space Land cover with vegetaion with a spiral like road path;0;1;1
Angkor_Wat;Crowd of people going to an event centre;1;1;1
Angkor_Wat;Group of individuals going to an event center;1;1;1
Jack_Ma;A man giving a speech during an interactive section;0;2;1
Angkor_Wat;Crowd of People going to an event center;1;1;1
Elon_Musk;A man in Black wears standimg beside a car;1;1;1
Arnold_Schwarzenegger;A very hefty Man  carrying a heavy weight;2;2;1
Amazon_River;A vegetative open field having a spiral work path;0;1;1
Jack_Ma;A man giving a speech;0;2;1
Amazon_River;A vegetative open field having a walk path;0;1;1
Arnold_Schwarzenegger;A hefty man Carrying a heavy weight;2;2;1
Angkor_Wat;A group of people are walking down to a building. A few are returning.;2;0;1
Elon_Musk;A man in black is giving presentation about a car;0;2;1
Arnold_Schwarzenegger;Arnold Schwarzenegger is lift an heavy object;0;2;1
Angkor_Wat;A group of people are walking down to a building and a few are returning.;2;0;1
Amazon_River;A lake passes through a forest;2;0;1
Angkor_Wat;A group of people is walking down to a building and few are returning.;2;0;1
Elon_Musk;A man in black is giving a speech about a new produced car;0;2;1
Jack_Ma;Elon Musk is giving a speech;0;2;1
Elon_Musk;A man in black is giving a speech about a new produced car;0;2;1
Jack_Ma;Elon Musk is giving a speech;0;2;1
Arnold_Schwarzenegger;Arnold Schwarzenegger is lifting an heavy object.;0;2;1
Amazon_River;A lake passes through a forest;2;0;1
Jack_Ma;Elon Musk is giving a speench;0;2;1
Arnold_Schwarzenegger;arnold schwarzenegger  is lifting an heavy object;0;2;1
Amazon_River;A lake passes through a forest;2;0;1
Jack_Ma;Jack Ma, or Ma Yun, is a Chinese business magnate, investor and politician.;1;1;0
Angkor_Wat;Angkor Wat is a Buddhist temple complex in Cambodia and is the largest religious monument in the world, on a site measuring 162.6 hectares;0;1;0
Angkor_Wat;Angkor Wat is a Buddhist temple complex in Cambodia and is the largest religious monument in the world, on a site measuring 162.6 hectares;0;1;0
Amazon_River;Amazon Rainforest Aerial Images, Stock Photos & Vectors;0;1;0
Elon_Musk;A MAN SPEAKING INFRONT OF THE CAR;0;1;0
Amazon_River;Amazon Rainforest Aerial Images, Stock Photos & Vectors;0;1;0
Arnold_Schwarzenegger;In Arnold Schwarzenegger’s books he highlights just how affective arm blasters;1;1;0
Jack_Ma;Jack Ma, or Ma Yun, is a Chinese business magnate, investor and politician.;1;1;0
Arnold_Schwarzenegger;In Arnold Schwarzenegger’s books he highlights just how affective arm blasters;1;1;0
Angkor_Wat;A TOURIST PLACE WITH LARGE PEOPLE;0;1;0
Elon_Musk;A MAN SPEAKING INFRONT OF A CAR;0;1;0
Elon_Musk;A MAN SPEAKING INFRONT OF THE CAR;0;1;0
Amazon_River;Amazon Rainforest Aerial Images, Stock Photos & Vectors;0;1;0
Arnold_Schwarzenegger;In Arnold Schwarzenegger’s books he highlights just how affective arm blasters can be, as the arm blaster;1;1;0
Jack_Ma;Jack Ma, or Ma Yun, is a Chinese business magnate, investor and politician.;1;1;0
Ellen_DeGeneres;A lady talking something through the television.;2;0;0
Bill_Clinton;A man speech very good.;2;0;0
Forbidden_City;There are so many coming for an occasion.;2;0;0
Ellen_DeGeneres;A lady indicated the best speech towards the television.;2;0;0
Elizabeth_Holmes;A girl with black very beautiful.;2;0;0
Elizabeth_Holmes;A girl with pretty looks.;2;0;0
Cn_Tower;A yellow dressed girl standing on the steps.;2;0;0
Cn_Tower;A  girl is standing on the steps.;2;0;0
Forbidden_City;A group of people coming for an occassion.;2;0;0
Bill_Clinton;A person speech well.;2;0;0
Elizabeth_Holmes;A lady with black color dress.;2;0;0
Ellen_DeGeneres;A lady with white color dress.;2;0;0
Cn_Tower;A girl is standing near the big wall.;2;0;0
Bill_Clinton;A man speaks well towards the audience.;2;0;0
Forbidden_City;Group of people coming for an occasion.;2;0;0
Cn_Tower;A lady take a photo infront of roundhouse park.;1;1;0
Elizabeth_Holmes;Elizabeth holmes billy evans got married.;0;1;0
Ellen_DeGeneres;Ellen Degeneres on show.;0;2;0
Ellen_DeGeneres;Ellen Degeneres on show;0;2;0
Forbidden_City;The Forbidden City is a palace complex in central Beijing, China.;0;2;0
Forbidden_City;The Forbidden City is a palace complex in central Beijing, China.;0;2;0
Bill_Clinton;Clinton is speech on stage;0;2;0
Elizabeth_Holmes;Elizabeth holmes billy evans got married.;0;1;0
Elizabeth_Holmes;Elizabeth holmes billy evans got married.;0;1;0
Cn_Tower;A lady take a photo infront of Roundhouse park.;1;1;0
Forbidden_City;The Forbidden City is a palace complex in central Beijing, China.;0;2;0
Ellen_DeGeneres;Ellen degeneres on show.;0;2;0
Bill_Clinton;Clinton is speech on stage.;0;2;0
Cn_Tower;A lady take a photo infront of Roundhouse park.;1;1;0
Bill_Clinton;Clinton is speech on stage.;0;2;0
Ellen_DeGeneres;Ellen Degeneres is sitting in a white chair on her TV set, looking at the camera.;4;2;1
Forbidden_City;A large building with multiple levels, has a crowd of people outside of it waiting to enter;2;0;1
Elizabeth_Holmes;A woman in a black shirt is looking at her hand holding a small object with her index and thumb fingers;2;0;1
Bill_Clinton;Bill clinton in a blue suit and red tie, is standing on stage in front of a microphone giving a speech;2;2;1
Bill_Clinton;Bill clinton is in a blue suit and a red tie standing on stage giving a speech;2;2;1
Cn_Tower;A person in a yellow outfit is standing at the top of stairs in front of a large spire;2;0;1
Bill_Clinton;Bill clinton is in a blue suit and red tie standing on stage giving a speech;2;2;1
Elizabeth_Holmes;a woman in a black shirt is holding a small object between two fingers;2;0;1
Ellen_DeGeneres;ellen degeneros is sitting in a white chair on her stage;4;2;1
Forbidden_City;a large building has a gathering of people outside it waiting to go in;2;0;1
Ellen_DeGeneres;ellen degeneres is sitting in a white chair on her stage;4;2;1
Cn_Tower;a person in a yellow outfit is at the top of stairs in front of a spire;2;0;1
Forbidden_City;a large building has a group of people standing outside it waiting to go in;2;0;1
Cn_Tower;a person in yellow is standing at the top of stairs in front of a spire;2;0;1
Elizabeth_Holmes;a woman in a black shirt is holding a small object with two fingers;2;0;1
Bill_Clinton;A great man deliver his fantastic speech to the audience.  Wen he starts his speech, everyone in the auditorium become silent and listen his speech very deeply.;2;0;0
Ellen_DeGeneres;We does not know who the stranger. So we should aware every time form the stranger in our like the above picture indicates that how to overcome in critical situations.;2;0;0
Forbidden_City;There are so many families in the above picture gathering together for a holiday vacation with full of joy and happiness.;0;1;0
Bill_Clinton;The great man showing his speech with guts towards the audience and get a applause from them.  Which make him very proud in his life time.  Because he use good words to the audience.;2;0;0
Cn_Tower;This is a long tower that indicates the purity of the world.  And the world's wealth and tradition and circumstances follows by the people.;2;0;0
Bill_Clinton;A leader gives his mind blowing speech to the audience and get more enthusiastic answers for his questions by the audience.;2;0;0
Forbidden_City;There are so many family members in Japan celebrates the traditional and cultural function with joy.;0;1;0
Elizabeth_Holmes;A beautiful lady shows magic and get every one pay attention through her magic and as well as her attitude.;2;0;0
Cn_Tower;A long tower indicates that purity and unity of the country with this picture.;2;0;0
Elizabeth_Holmes;A beautiful and gorgeous lady doing the stunning magic performance.  And  get a applause from the audience.;2;0;0
Ellen_DeGeneres;A well-known lady giving a speech through telecast. About talking something by the questions of Video jacky.;2;0;0
Cn_Tower;In every country there are so many memorable things.  Like the above picture indicates that the unity and wealth of the world.;2;0;0
Forbidden_City;Tokyo city of Japan celebrates the festival with so many people united.;0;1;0
Elizabeth_Holmes;A lady showing a magic and get a applause from the audience wearing cute black closed shirt.;2;0;0
Ellen_DeGeneres;A lady in a white court giving speech through television.;2;0;0
Forbidden_City;People trooping in a Mall in China.;2;0;1
Forbidden_City;A beautiful edifice in China.;2;0;1
Cn_Tower;A lady taking a picture with a beautiful monument.;2;0;1
Ellen_DeGeneres;Ellen, a talk show personality, on the set of her show.;0;2;1
Forbidden_City;An historic building in China.;2;0;1
Elizabeth_Holmes;A lady modelling for a jewellery.;2;0;1
Elizabeth_Holmes;A lady looking at a precious stone.;2;0;1
Ellen_DeGeneres;Ellen poses for a picture.;0;2;1
Elizabeth_Holmes;A model in a turtle neck outfit.;2;0;1
Bill_Clinton;Bill Clinton, former US President, giving a speech.;1;2;1
Cn_Tower;A lady taking a picture outside the convention center.;2;0;1
Cn_Tower;A lady taking a picture at the historic monument;2;0;1
Bill_Clinton;Bill Clinton photographed while giving a speech.;1;2;1
Bill_Clinton;Bill Clinton giving a talk.;1;2;1
Ellen_DeGeneres;Ellen wearing her trademark suit and jeans outfit.;0;2;1
Brexit;A person is using pink scissors to cut a strip of paper of two flag pictures;2;0;1
Brexit;There are two flags on a strip of paper, and then a person using pink scissors cuts in between.;2;0;1
Aamir_Khan;A man with a microphone is smiling and talking.;2;0;1
Wang_Leehom;A man is standing in waist deep water.;2;0;1
Wang_Leehom;A man with brown hair is standing is waist deep water.;2;0;1
FIFA_World_Cup;A man holding a gold trophy and wearing a medal is smiling because he won.;2;0;1
Colosseum;Two women crouch down low to the ground to get better photos of the Colosseum.;0;2;1
Brexit;A person holding pink pair of scissors is cutting a strip of paper with two flags on it in half.;2;0;1
Colosseum;Two women are crouched down low to take pictures of the Colosseum.;0;2;1
Aamir_Khan;A man with microphone is smiling and talking to the microphone.;2;0;1
Colosseum;Two women are crouched down close to the ground taking photos of the Colosseum.;0;2;1
Wang_Leehom;A man with brown hair and no shirt is standing in waist deep water.;2;0;1
FIFA_World_Cup;A man holding a golden trophy and wearing a medal with a blue strap is smiling and pointing at the trophy.;2;0;1
Aamir_Khan;A man is smiling and talking into a microphone.;2;0;1
FIFA_World_Cup;A man in a blue and black sports uniform is holding a golden trophy and pointing at it.;2;0;1
Brexit;One of the person cut some of the country's flag.;2;0;0
Brexit;A person cutting a flag;2;0;0
Aamir_Khan;A man is singing with mike;2;0;0
Colosseum;One of the miracle was foundation.;2;0;0
Wang_Leehom;A man is swimming in the water;2;0;0
Brexit;A person cutting the flag.;2;0;0
Aamir_Khan;A man is singing with the help of mike.;2;0;0
FIFA_World_Cup;There are full of champions with victory cup.;1;0;0
Colosseum;A miracle is foundation and the girls are dancing there.;2;0;0
Wang_Leehom;A man is swimming in the pool;2;0;0
Colosseum;A miracle place is watching by the tourists.;2;0;0
Wang_Leehom;A man is swimming in the water;2;0;0
Aamir_Khan;A man is singing like a star.;2;0;0
FIFA_World_Cup;A champion holding cup with smile;1;0;0
FIFA_World_Cup;The champion is holding the cup.;1;0;0
Colosseum;The Colosseum or Coliseum also known as the Flavian Amphitheatre is an oval amphitheatre in the centre of the city of Rome, Italy. Built of travertine limestone;1;1;0
Aamir_Khan;Secret Superstar is a 2017 Indian Hindi-language musical drama film written and directed by Advait Chandan, and produced by Aamir Khan and Kiran Rao;1;1;0
FIFA_World_Cup;World Cup 2018: France hero Kylian Mbappe urged to join Manchester United by Rio Ferdinand.;1;1;0
Aamir_Khan;Secret Superstar is a 2017 Indian Hindi-language musical drama film written and directed by Advait Chandan, and produced by Aamir Khan and Kiran Rao;1;1;0
Brexit;Bear in the Big Blue House is an American children's television series created by Mitchell Kriegman and produced by Jim Henson Television for Disney;1;1;0
FIFA_World_Cup;Here is a best of Kylian Mbappé during the World Cup 2018. All matches, from Australia to Croatia. Mbappé scored 4 goals;1;1;0
Colosseum;The Colosseum or Coliseum also known as the Flavian Amphitheatre is an oval amphitheatre in the centre of the city of Rome, Italy. Built of travertine limestone;1;1;0
Wang_Leehom;Earlier today, Mandopop singer and dreamboat Wang Leehom;1;1;0
Brexit;Bear in the Big Blue House is an American children's television series created by Mitchell Kriegman and produced by Jim Henson Television for Disne;1;1;0
Wang_Leehom;Find concert tickets for Wang Leehom upcoming 2020 shows. Explore Wang Leehom tour;1;1;0
Aamir_Khan;Secret Superstar is a 2017 Indian Hindi-language musical drama film written and directed by Advait Chandan, and produced by Aamir Khan and Kiran Rao;1;1;0
Brexit;Bear in the Big Blue House is an American children's television series created by Mitchell Kriegman and produced by Jim Henson Television for Disney;1;1;0
FIFA_World_Cup;Kylian Mbappé had a World Cup that made pundits drool.;1;1;0
Colosseum;The Colosseum or Coliseum also known as the Flavian Amphitheatre is an oval amphitheatre in the centre of the city of Rome, Italy. Built of travertine limestone,;1;1;0
Wang_Leehom;Find concert tickets for Wang Leehom upcoming 2020 shows. Explore Wang Leehom tour;1;1;0
Wang_Leehom;A person in the water;2;0;0
FIFA_World_Cup;A person with the cup;2;0;0
Colosseum;Two girls capturing the wonder;2;0;0
Wang_Leehom;A person in the water;2;0;0
Brexit;A person cuts the two country flag;2;0;0
Aamir_Khan;A person speaks in mic;2;0;0
Colosseum;Two girls capture the wonder;2;0;0
Wang_Leehom;A person in the water;2;0;0
Brexit;Someone cuts the two country flag;2;0;0
Brexit;A person cuts the flag;2;0;0
FIFA_World_Cup;A person pose with the cup;2;0;0
Aamir_Khan;A person speaks in the mic;2;0;0
Aamir_Khan;A person talks in the mic;2;0;0
Colosseum;Two girls capturing the wonder;2;0;0
FIFA_World_Cup;A person pose after winning the tournament.;2;0;0
Colosseum;A guy taking photo of colloseum;1;1;0
Aamir_Khan;He is an Bolly wood actor secret superstar amir khan;1;1;0
Colosseum;In this photo taking the picture colloseum;1;1;0
FIFA_World_Cup;In this photo mbappe taking the photo of winning the trophy in world record;0;1;0
Wang_Leehom;in this photo is wang lee hong;2;1;0
Wang_Leehom;In this photo lee wang hong;2;1;0
Aamir_Khan;In this picture bollywood singing star Amir Khan singing;1;1;0
FIFA_World_Cup;In this picture winning in the world record;0;1;0
Aamir_Khan;In this picture bollywood singing star Amir Khan singing;1;1;0
Colosseum;In this photo taking the picture in colloseum;1;1;0
FIFA_World_Cup;In this photo winning in world record;0;1;0
Brexit;In this photo cutting the flag picture;2;1;0
Brexit;In this photo cutting the flag picture;2;1;0
Brexit;In this photo cutting the flag picture;2;1;0
Wang_Leehom;In this picture leehom wang present;2;1;0
Wang_Leehom;A young man of Asian descent is walking through a body of water up to his waist.;2;0;1
Wang_Leehom;A young man, of Asian descent, is walking through a body of water, almost up to his chest.;2;0;1
Brexit;Someone is holding scissors and cutting apart a picture of the Union Jack and the EU flags.;2;1;1
Brexit;Someone is cutting apart two images of the EU flag and the Union Jack flag.;2;1;1
Aamir_Khan;There is a man with dark hair singing on a stage.;2;0;1
Brexit;Someone is cutting apart two flags, the European Union flag and the Union Jack flag.;2;1;1
FIFA_World_Cup;A young African American man is holding a trophy in a celebration of an obvious sporting event win.;2;0;1
Colosseum;There are two women kneeling down taking a photograph near the coloseum in Rome.;1;2;1
Aamir_Khan;A young man with black hair is holding a microphone and looks like he's singing on a TV show.;2;0;1
Wang_Leehom;A young Asian man is walking through a pool of water up to his waist.;2;0;1
Aamir_Khan;A dark haired man with a beard is holding a microphone and singing on stage.;2;0;1
FIFA_World_Cup;A young African American man is holding a trophy and celebrating a sporting event win with his team.;2;0;1
Colosseum;Two women are taking a photography of the coloseum in Rome.;1;2;1
FIFA_World_Cup;A young African American man is holding a gold trophy and celebrating a sporting event win with his team.;2;0;1
Colosseum;Two woman are kneeling taking a photograph of the coloseum in Rome.;1;2;1
Colosseum;Tourists are enjoying at Colosseum.;2;1;0
Aamir_Khan;Aamir Khan, an Indian actor, is giving a speech at some event.;1;2;0
FIFA_World_Cup;France's Mbappe is giving a pose for the cameraman after winning the World Cup.;1;1;0
Brexit;Someone is separating a small printed UK flag attached with something else by cutting it with a scissor.;1;2;0
Colosseum;Some women are taking photos of someone at the Colosseum. There are other tourists too.;2;1;0
Wang_Leehom;Some male is standing inside a river without wearing shirt.;2;0;0
Wang_Leehom;Some celebrity is standing inside the river without wearing a shirt.;2;0;0
Colosseum;A family is taking photos of their male member at the Colosseum.;2;1;0
Aamir_Khan;Aamir Khan, an Indian actor, is happily giving a speech at some event.;1;2;0
FIFA_World_Cup;France has won the FIFA World Cup and Mbappe is holding it.;1;1;0
Wang_Leehom;A celebrity is showing off his body by standing inside a river without wearing a shirt.;2;0;0
Brexit;Someone is cutting off the printed image of UK flag attached with something else after Brexit.;1;2;0
Aamir_Khan;Aamir Khan is giving a speech at some event and enjoying it.;1;2;0
FIFA_World_Cup;After winning FIFA WORLD CUP, France's Mbappe is proudly holding the Cup.;1;1;0
Brexit;Someone is separating the printed image of UK flag attached to a printed image of EU flag by cutting it with a scissor.;1;2;0
Florence_Cathedral;It was famous place that every people have been unique at same time;0;1;0
Florence_Cathedral;It was a famous place;0;1;0
Florence_Cathedral;know place to meet evewryone;0;1;0
Kim_Jong_Un;A famous person which was been a genius;3;2;0
Acropolis;A tourist place that have been vistied;1;1;0
Great_Wall_Of_China;A crowd a area  a thousand of people meet;0;1;0
Kim_Jong_Un;A person has a genius;3;2;0
Acropolis;A tourist place that every person can visit;1;1;0
Buckingham_Palace;A beautiful nature palce;0;1;0
Buckingham_Palace;A beautiful nature place;0;1;0
Great_Wall_Of_China;Most of people meet together;0;1;0
Great_Wall_Of_China;A group of people together;0;1;0
Acropolis;A group people taking photo;1;1;0
Kim_Jong_Un;A boy in the blue shirt speaking;3;2;0
Buckingham_Palace;A beauty of nature with lot of flower;0;1;0
Acropolis;the group of friends enjoying their trip;0;1;0
Kim_Jong_Un;A man giving his speech;1;2;0
Florence_Cathedral;the building is nice;0;1;0
Acropolis;A group of friends were enjoyed their trip;0;1;0
Great_Wall_Of_China;A group of people going to temple;1;1;0
Kim_Jong_Un;A man given his speech;1;2;0
Buckingham_Palace;the building was beautiful;2;1;0
Florence_Cathedral;the photograph was nice;0;1;0
Buckingham_Palace;that was a beautiful building;2;1;0
Acropolis;A group of friends enjoyed their outing;0;1;0
Kim_Jong_Un;A man in black shoot is giving a speech;1;2;0
Great_Wall_Of_China;A group of people going to the temple;1;1;0
Great_Wall_Of_China;A group of people going to the temple which is located in the top of hill;1;1;0
Florence_Cathedral;the photograph looking beautiful;0;1;0
Buckingham_Palace;the place was very beautifull;2;1;0
Buckingham_Palace;An edifice in the middle of a garden.;0;2;1
Kim_Jong_Un;North Korea President, Kim Jong-Un giving an address.;2;2;1
Florence_Cathedral;A beautiful edifice in the middle of a city.;2;0;1
Kim_Jong_Un;President Kim Jong-Un of North korea giving a speech.;2;2;1
Kim_Jong_Un;President of North Korea addressing the people.;2;2;1
Buckingham_Palace;A garden full of different flowers.;0;2;1
Great_Wall_Of_China;Tourists visiting the great wall of China.;0;2;1
